Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Rubus arcticus	Rubus.arcticus	1	12798	1	99937	NA	0	NA	0	112735	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.3024	1	NA
Rubus chamaemorus	Rubus.chamaemorus	1	33141	1	181721	1	11	NA	0	214873	1	3	1	1	NA	"SUBSHRUB, HERB"	herbaceous	0.175	1	NA
Rubus idaeus	Rubus.idaeus	1	66394	1	139191	NA	0	NA	0	205585	1	4	1	1	NA	SHRUB	NA	2	1	NA
Rubus pubescens	Rubus.pubescens	1	275	1	14569	NA	0	NA	0	14844	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.3	1	NA
Rubus stellatus	Rubus.stellatus	1	120	1	20021	NA	0	NA	0	20141	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	NA	1	NA
Salix acutifolia	Salix.acutifolia	1	194	1	490	NA	0	NA	0	684	1	2	1	1	1	"SHRUB, TREE"	NA	NA	1	NA
Salix alaxensis	Salix.alaxensis	1	585	1	73099	NA	0	NA	0	73684	1	1	1	1	1	"SHRUB, TREE"	shrub	7	1	NA
Salix arbuscula	Salix.arbuscula	1	1090	1	2715	NA	0	NA	0	3805	1	2	1	1	NA	SHRUB	NA	0.7	1	NA
Salix arbusculoides	Salix.arbusculoides	1	713	1	41958	NA	0	NA	0	42671	1	1	1	1	1	"SHRUB, TREE"	NA	6.024	1	NA
Salix arbutifolia	Salix.arbutifolia	1	2	NA	0	NA	0	NA	0	2	1	2	1	NA	1	TREE	NA	30	NA	1
Salix arctica	Salix.arctica	1	4267	1	30118	1	332	NA	0	34717	1	1	1	1	NA	SHRUB	tree	0.15	1	NA
Salix arctophila	Salix.arctophila	1	321	1	41376	1	276	NA	0	41973	1	2	1	1	NA	DWARF-SHRUB	NA	0.15	1	NA
Salix argyrocarpa	Salix.argyrocarpa	1	26	NA	0	NA	0	NA	0	26	1	2	1	1	NA	SHRUB	NA	1	NA	1
