"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"	"Growth.form.isla"
"Salix cordata"	"Salix.cordata"	1	90	NA	0	NA	0	NA	0	90	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	3	NA	""	NA	1	0.224083334	"Tall Shrubs"
"Salix glauca"	"Salix.glauca"	1	9270	1	13704	1	485	NA	0	23459	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.615	287	"Normand.etal.2013.REST "	1	NA	0.289166667	"Tall Shrubs"
"Salix hastata"	"Salix.hastata"	1	5945	1	19903	NA	0	NA	0	25848	1	2	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.9572	287	"Normand.etal.2013.REST "	1	NA	0.175	"Tall Shrubs"
"Salix herbacea"	"Salix.herbacea"	1	9379	1	17929	1	374	NA	0	27682	1	2	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.029533334	287	""	1	NA	0.188166667	"Dwarf Shrubs"
"Salix krylovii"	"Salix.krylovii"	1	2	1	45658	NA	0	NA	0	45660	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	2.5	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix lanata"	"Salix.lanata"	1	4983	1	12946	NA	0	NA	0	17929	1	1	1	1	NA	"SHRUB"	"NA,shrub"	"SHRUB"	0.28	287	"Normand.etal.2013.REST "	1	NA	0.224083334	"Low Shrubs"
"Salix lapponum"	"Salix.lapponum"	1	4625	1	58274	NA	0	NA	0	62899	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.848992857	287	"Normand.etal.2013.REST "	1	NA	0.51	"Tall Shrubs"
"Salix myrsinites"	"Salix.myrsinites"	1	3941	1	9645	NA	0	NA	0	13586	1	2	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.215	287	"Normand.etal.2013.REST "	1	NA	0.411666667	"Low Shrubs"
"Salix myrtillifolia"	"Salix.myrtillifolia"	1	328	1	59810	NA	0	NA	0	60138	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.6	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix myrtilloides"	"Salix.myrtilloides"	1	4055	1	32583	NA	0	NA	0	36638	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	287	"Normand.etal.2013.REST "	1	NA	0.224083334	"Tall Shrubs"
"Salix niphoclada"	"Salix.niphoclada"	1	370	1	24037	NA	0	NA	0	24407	1	1	1	1	NA	"SHRUB"	NA	"SHRUB"	2.7192	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix nummularia"	"Salix.nummularia"	1	2	1	6036	NA	0	NA	0	6038	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.03	287	""	1	NA	0.224083334	"Dwarf Shrubs"
"Salix ovalifolia"	"Salix.ovalifolia"	1	213	1	6478	NA	0	NA	0	6691	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.05	287	""	1	NA	0.224083334	"Dwarf Shrubs"
"Salix pedicellaris"	"Salix.pedicellaris"	1	182	1	3610	NA	0	NA	0	3792	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix phlebophylla"	"Salix.phlebophylla"	1	260	1	27815	NA	0	NA	0	28075	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.07	287	""	1	NA	0.224083334	"Dwarf Shrubs"
"Salix phylicifolia"	"Salix.phylicifolia"	1	1367	1	60429	NA	0	NA	0	61796	1	2	1	1	1	"SHRUB, TREE"	"tree"	"SHRUB"	2.5	287	"Normand.etal.2013.REST "	1	NA	0.18115942	"Tall Shrubs"
"Salix polaris"	"Salix.polaris"	1	1751	1	10504	NA	0	NA	0	12255	1	1	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.055	287	""	1	NA	0.224083334	"Dwarf Shrubs"
"Salix pulchra"	"Salix.pulchra"	1	586	1	67063	NA	0	NA	0	67649	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	2.569066667	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix recurvigemmis"	"Salix.recurvigemmis"	NA	0	1	2526	NA	0	NA	0	2526	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix reptans"	"Salix.reptans"	1	1	1	3384	NA	0	NA	0	3385	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix reticulata"	"Salix.reticulata"	1	2481	1	19041	NA	0	NA	0	21522	1	2	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.0875	287	""	1	NA	0.1375	"Dwarf Shrubs"
"Salix rosmarinifolia"	"Salix.rosmarinifolia"	1	499	1	55556	NA	0	NA	0	56055	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix rotundifolia"	"Salix.rotundifolia"	1	276	1	13785	NA	0	NA	0	14061	1	2	1	1	NA	"SHRUB, SUBSHRUB"	"NA,shrub"	"SHRUB"	0.05	287	""	1	NA	0.224083334	"Dwarf Shrubs"
"Salix saxatilis"	"Salix.saxatilis"	1	8	1	37466	NA	0	NA	0	37474	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.5	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix sphenophylla"	"Salix.sphenophylla"	1	24	1	41496	NA	0	NA	0	41520	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.12	287	""	1	NA	0.224083334	"Dwarf Shrubs"
"Salix tschuktschorum"	"Salix.tschuktschorum"	1	2	1	19369	NA	0	NA	0	19371	1	2	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	1.1	287	""	1	NA	0.224083334	"Tall Shrubs"
"Salix uva-ursi"	"Salix.uvaursi"	1	55	NA	0	1	70	NA	0	125	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.05	287	""	NA	1	0.224083334	"Dwarf Shrubs"
"Salix vestita"	"Salix.vestita"	1	160	NA	0	NA	0	NA	0	160	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	287	""	NA	1	0.224083334	"Tall Shrubs"
"Shepherdia canadensis"	"Shepherdia.canadensis"	1	814	1	82707	NA	0	NA	0	83521	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	1.9144	NA	""	1	NA	8.235958693	"Tall Shrubs"
